Parameter C : 0.001, Parameter gamma : 0.001, Parameter coef0 : 0.001, Parameter degree : 1, acc : 79.52
Parameter C : 0.001, Parameter gamma : 0.001, Parameter coef0 : 0.001, Parameter degree : 2, acc : 46.12
Parameter C : 0.001, Parameter gamma : 0.001, Parameter coef0 : 0.001, Parameter degree : 3, acc : 28.68
Parameter C : 0.001, Parameter gamma : 0.001, Parameter coef0 : 0.046415888336127795, Parameter degree : 1, acc : 79.3
Parameter C : 0.001, Parameter gamma : 0.001, Parameter coef0 : 0.046415888336127795, Parameter degree : 2, acc : 60.84
Parameter C : 0.001, Parameter gamma : 0.001, Parameter coef0 : 0.046415888336127795, Parameter degree : 3, acc : 42.76
Parameter C : 0.001, Parameter gamma : 0.001, Parameter coef0 : 2.1544346900318843, Parameter degree : 1, acc : 79.32000000000001
Parameter C : 0.001, Parameter gamma : 0.001, Parameter coef0 : 2.1544346900318843, Parameter degree : 2, acc : 78.8
Parameter C : 0.001, Parameter gamma : 0.001, Parameter coef0 : 2.1544346900318843, Parameter degree : 3, acc : 78.2
Parameter C : 0.001, Parameter gamma : 0.001, Parameter coef0 : 100.0, Parameter degree : 1, acc : 79.34
Parameter C : 0.001, Parameter gamma : 0.001, Parameter coef0 : 100.0, Parameter degree : 2, acc : 92.52
Parameter C : 0.001, Parameter gamma : 0.001, Parameter coef0 : 100.0, Parameter degree : 3, acc : 96.94
Parameter C : 0.001, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.001, Parameter degree : 1, acc : 79.4
Parameter C : 0.001, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.001, Parameter degree : 2, acc : 51.62
Parameter C : 0.001, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.001, Parameter degree : 3, acc : 48.18
Parameter C : 0.001, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.046415888336127795, Parameter degree : 1, acc : 79.32000000000001
Parameter C : 0.001, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.046415888336127795, Parameter degree : 2, acc : 52.76
Parameter C : 0.001, Parameter gamma : 0.01778279410038923, Parameter coef0 : 0.046415888336127795, Parameter degree : 3, acc : 51.9
Parameter C : 0.001, Parameter gamma : 0.01778279410038923, Parameter coef0 : 2.1544346900318843, Parameter degree : 1, acc : 79.52
Parameter C : 0.001, Parameter gamma : 0.01778279410038923, Parameter coef0 : 2.1544346900318843, Parameter degree : 2, acc : 88.58
Parameter C : 0.001, Parameter gamma : 0.01778279410038923, Parameter coef0 : 2.1544346900318843, Parameter degree : 3, acc : 94.36
Parameter C : 0.001, Parameter gamma : 0.01778279410038923, Parameter coef0 : 100.0, Parameter degree : 1, acc : 79.66
Parameter C : 0.001, Parameter gamma : 0.01778279410038923, Parameter coef0 : 100.0, Parameter degree : 2, acc : 96.66
Parameter C : 0.001, Parameter gamma : 0.01778279410038923, Parameter coef0 : 100.0, Parameter degree : 3, acc : 96.82
Parameter C : 0.001, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.001, Parameter degree : 1, acc : 93.72
Parameter C : 0.001, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.001, Parameter degree : 2, acc : 97.64
Parameter C : 0.001, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.001, Parameter degree : 3, acc : 97.88
Parameter C : 0.001, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.046415888336127795, Parameter degree : 1, acc : 93.76
Parameter C : 0.001, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.046415888336127795, Parameter degree : 2, acc : 97.64
Parameter C : 0.001, Parameter gamma : 0.31622776601683794, Parameter coef0 : 0.046415888336127795, Parameter degree : 3, acc : 97.58
Parameter C : 0.001, Parameter gamma : 0.31622776601683794, Parameter coef0 : 2.1544346900318843, Parameter degree : 1, acc : 93.62
Parameter C : 0.001, Parameter gamma : 0.31622776601683794, Parameter coef0 : 2.1544346900318843, Parameter degree : 2, acc : 97.44
Parameter C : 0.001, Parameter gamma : 0.31622776601683794, Parameter coef0 : 2.1544346900318843, Parameter degree : 3, acc : 97.98
